500;500;0;0
550;450;0;0
600;400;0;0
334;333;333;0
367;334;299;0
400;333;267;0
250;250;250;250
275;258;241;226
300;267;234;199
550;550;0;0
605;495;0;0
660;440;0;0
367;367;366;0
403;366;331;0
440;367;293;0
275;275;275;275
302;284;266;248
330;293;256;221
600;600;0;0
660;540;0;0
720;480;0;0
400;400;400;0
440;400;360;0
480;400;320;0
300;300;300;300
330;310;290;270
360;320;280;240
1000;1000;0;0
1100;900;0;0
1200;800;0;0
667;667;666;0
733;666;601;0
800;667;533;0
500;500;500;500
550;517;484;449
600;533;466;401
1100;1100;0;0
1210;990;0;0
1320;880;0;0
734;733;733;0
807;734;659;0
880;733;587;0
550;550;550;550
605;568;531;496
660;587;514;439
1200;1200;0;0
1320;1080;0;0
1440;960;0;0
800;800;800;0
880;800;720;0
960;800;640;0
600;600;600;600
660;620;580;540
720;640;560;480
1500;1500;0;0
1650;1350;0;0
1800;1200;0;0
1000;1000;1000;0
1100;1000;900;0
1200;1000;800;0
750;750;750;750
825;775;725;675
900;800;700;600
1650;1650;0;0
1815;1485;0;0
1980;1320;0;0
1100;1100;1100;0
1210;1100;990;0
1320;1100;880;0
825;825;825;825
908;853;798;741
990;880;770;660
1800;1800;0;0
1980;1620;0;0
2160;1440;0;0
1200;1200;1200;0
1320;1200;1080;0
1440;1200;960;0
900;900;900;900
990;930;870;810
1080;960;840;720
2000;2000;0;0
2200;1800;0;0
2400;1600;0;0
1334;1333;1333;0
1467;1334;1199;0
1600;1333;1067;0
1000;1000;1000;1000
1100;1033;966;901
1200;1067;934;799
2200;2200;0;0
2420;1980;0;0
2640;1760;0;0
1467;1467;1466;0
1613;1466;1321;0
1760;1467;1173;0
1100;1100;1100;1100
1210;1137;1064;989
1320;1173;1026;881
2400;2400;0;0
2640;2160;0;0
2880;1920;0;0
1600;1600;1600;0
1760;1600;1440;0
1920;1600;1280;0
1200;1200;1200;1200
1320;1240;1160;1080
1440;1280;1120;960
2500;2500;0;0
2750;2250;0;0
3000;2000;0;0
1667;1667;1666;0
1833;1666;1501;0
2000;1667;1333;0
1250;1250;1250;1250
1375;1292;1209;1124
1500;1333;1166;1001
2750;2750;0;0
3025;2475;0;0
3300;2200;0;0
1834;1833;1833;0
2017;1834;1649;0
2200;1833;1467;0
1375;1375;1375;1375
1513;1421;1329;1237
1650;1467;1284;1099
3000;3000;0;0
3300;2700;0;0
3600;2400;0;0
2000;2000;2000;0
2200;2000;1800;0
2400;2000;1600;0
1500;1500;1500;1500
1650;1550;1450;1350
1800;1600;1400;1200
3000;3000;0;0
3300;2700;0;0
3600;2400;0;0
2000;2000;2000;0
2200;2000;1800;0
2400;2000;1600;0
1500;1500;1500;1500
1650;1550;1450;1350
1800;1600;1400;1200
3300;3300;0;0
3630;2970;0;0
3960;2640;0;0
2200;2200;2200;0
2420;2200;1980;0
2640;2200;1760;0
1650;1650;1650;1650
1815;1705;1595;1485
1980;1760;1540;1320
3600;3600;0;0
3960;3240;0;0
4320;2880;0;0
2400;2400;2400;0
2640;2400;2160;0
2880;2400;1920;0
1800;1800;1800;1800
1980;1860;1740;1620
2160;1920;1680;1440
3500;3500;0;0
3850;3150;0;0
4200;2800;0;0
2334;2333;2333;0
2567;2334;2099;0
2800;2333;1867;0
1750;1750;1750;1750
1925;1808;1691;1576
2100;1867;1634;1399
3850;3850;0;0
4235;3465;0;0
4620;3080;0;0
2567;2567;2566;0
2823;2566;2311;0
3080;2567;2053;0
1925;1925;1925;1925
2118;1990;1862;1730
2310;2053;1796;1541
4200;4200;0;0
4620;3780;0;0
5040;3360;0;0
2800;2800;2800;0
3080;2800;2520;0
3360;2800;2240;0
2100;2100;2100;2100
2310;2170;2030;1890
2520;2240;1960;1680
4000;4000;0;0
4400;3600;0;0
4800;3200;0;0
2667;2667;2666;0
2933;2666;2401;0
3200;2667;2133;0
2000;2000;2000;2000
2200;2067;1934;1799
2400;2133;1866;1601
4400;4400;0;0
4840;3960;0;0
5280;3520;0;0
2934;2933;2933;0
3227;2934;2639;0
3520;2933;2347;0
2200;2200;2200;2200
2420;2273;2126;1981
2640;2347;2054;1759
4800;4800;0;0
5280;4320;0;0
5760;3840;0;0
3200;3200;3200;0
3520;3200;2880;0
3840;3200;2560;0
2400;2400;2400;2400
2640;2480;2320;2160
2880;2560;2240;1920
4500;4500;0;0
4950;4050;0;0
5400;3600;0;0
3000;3000;3000;0
3300;3000;2700;0
3600;3000;2400;0
2250;2250;2250;2250
2475;2325;2175;2025
2700;2400;2100;1800
4950;4950;0;0
5445;4455;0;0
5940;3960;0;0
3300;3300;3300;0
3630;3300;2970;0
3960;3300;2640;0
2475;2475;2475;2475
2722;2557;2392;2229
2970;2640;2310;1980
5400;5400;0;0
5940;4860;0;0
6480;4320;0;0
3600;3600;3600;0
3960;3600;3240;0
4320;3600;2880;0
2700;2700;2700;2700
2970;2790;2610;2430
3240;2880;2520;2160
5000;5000;0;0
5500;4500;0;0
6000;4000;0;0
3334;3333;3333;0
3667;3334;2999;0
4000;3333;2667;0
2500;2500;2500;2500
2750;2583;2416;2251
3000;2667;2334;1999
5500;5500;0;0
6050;4950;0;0
6600;4400;0;0
3667;3667;3666;0
4033;3666;3301;0
4400;3667;2933;0
2750;2750;2750;2750
3025;2842;2659;2474
3300;2933;2566;2201
6000;6000;0;0
6600;5400;0;0
7200;4800;0;0
4000;4000;4000;0
4400;4000;3600;0
4800;4000;3200;0
3000;3000;3000;3000
3300;3100;2900;2700
3600;3200;2800;2400
5500;5500;0;0
6050;4950;0;0
6600;4400;0;0
3667;3667;3666;0
4033;3666;3301;0
4400;3667;2933;0
2750;2750;2750;2750
3025;2842;2659;2474
3300;2933;2566;2201
6050;6050;0;0
6655;5445;0;0
7260;4840;0;0
4034;4033;4033;0
4437;4034;3629;0
4840;4033;3227;0
3025;3025;3025;3025
3328;3126;2924;2722
3630;3227;2824;2419
6600;6600;0;0
7260;5940;0;0
7920;5280;0;0
4400;4400;4400;0
4840;4400;3960;0
5280;4400;3520;0
3300;3300;3300;3300
3630;3410;3190;2970
3960;3520;3080;2640
6000;6000;0;0
6600;5400;0;0
7200;4800;0;0
4000;4000;4000;0
4400;4000;3600;0
4800;4000;3200;0
3000;3000;3000;3000
3300;3100;2900;2700
3600;3200;2800;2400
6600;6600;0;0
7260;5940;0;0
7920;5280;0;0
4400;4400;4400;0
4840;4400;3960;0
5280;4400;3520;0
3300;3300;3300;3300
3630;3410;3190;2970
3960;3520;3080;2640
7200;7200;0;0
7920;6480;0;0
8640;5760;0;0
4800;4800;4800;0
5280;4800;4320;0
5760;4800;3840;0
3600;3600;3600;3600
3960;3720;3480;3240
4320;3840;3360;2880
6500;6500;0;0
7150;5850;0;0
7800;5200;0;0
4334;4333;4333;0
4767;4334;3899;0
5200;4333;3467;0
3250;3250;3250;3250
3575;3358;3141;2926
3900;3467;3034;2599
7150;7150;0;0
7865;6435;0;0
8580;5720;0;0
4767;4767;4766;0
5243;4766;4291;0
5720;4767;3813;0
3575;3575;3575;3575
3933;3695;3457;3215
4290;3813;3336;2861
7800;7800;0;0
8580;7020;0;0
9360;6240;0;0
5200;5200;5200;0
5720;5200;4680;0
6240;5200;4160;0
3900;3900;3900;3900
4290;4030;3770;3510
4680;4160;3640;3120
7000;7000;0;0
7700;6300;0;0
8400;5600;0;0
4667;4667;4666;0
5133;4666;4201;0
5600;4667;3733;0
3500;3500;3500;3500
3850;3617;3384;3149
4200;3733;3266;2801
7700;7700;0;0
8470;6930;0;0
