dependency,skus,wareh,diff,buffer,mode,benchiter,orders,train_test,parcel_train,parcel_test,duration,cap_used,local_search,gap
ED,1000,2,0.0,0.0,CHIM_1.0,1,20000,0.5,13269,13342,0.2566806,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.1,1,20000,0.5,13272,13335,0.2488589,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.01,1,20000,0.5,13276,13339,0.2410753,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.001,1,20000,0.5,13276,13339,0.2436434,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.0001,1,20000,0.5,13280,13341,0.2535572,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-5,1,20000,0.5,13274,13338,0.2489861,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-6,1,20000,0.5,13285,13352,0.2552474,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-7,1,20000,0.5,13285,13352,0.2478984,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-8,1,20000,0.5,13281,13346,0.2527076,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-9,1,20000,0.5,13278,13331,0.2482101,1000,0,0.0
ED,1000,2,0.0,0.0,CHI_1.0,1,20000,0.5,13255,13389,0.2471757,1000,2,0.0
ED,1000,2,0.0,0.0,CHI_0.1,1,20000,0.5,13250,13347,0.2484686,1000,2,0.0
ED,1000,2,0.0,0.0,CHI_0.01,1,20000,0.5,13247,13362,0.2481646,1000,2,0.0
ED,1000,2,0.0,0.0,CHI_0.001,1,20000,0.5,13247,13362,0.2521112,1000,2,0.0
ED,1000,2,0.0,0.0,CHI_0.0001,1,20000,0.5,13234,13375,0.2510279,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-5,1,20000,0.5,13249,13358,0.2426383,1000,2,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-6,1,20000,0.5,13255,13368,0.2444388,1000,3,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-7,1,20000,0.5,13255,13368,0.2513871,1000,3,0.0
